Training,Postprocessor,Near-OOD_AUROC,Far-OOD_AUROC,ID_Accuracy,Outlier_Data,Arch,Additional_Description
CrossEntropy,OpenMax,87.62 ± 0.29,89.62 ± 0.19,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,MSP,88.03 ± 0.25,90.73 ± 0.43,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,TempScale,88.09 ± 0.31,90.97 ± 0.52,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,ODIN,82.87 ± 1.85,87.96 ± 0.61,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,MDS,84.20 ± 2.40,89.72 ± 1.36,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,MDSEns,60.43 ± 0.26,73.90 ± 0.27,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,RMDS,89.80 ± 0.28,92.20 ± 0.21,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,Gram,58.66 ± 4.83,71.73 ± 3.20,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,EBO,87.58 ± 0.46,91.21 ± 0.92,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,OpenGAN,53.71 ± 7.68,54.61 ± 15.51,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,GradNorm,54.90 ± 0.98,57.55 ± 3.22,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,ReAct,87.11 ± 0.61,90.42 ± 1.41,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,MLS,87.52 ± 0.47,91.10 ± 0.89,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,KLM,79.19 ± 0.80,82.68 ± 0.21,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,VIM,88.68 ± 0.28,93.48 ± 0.24,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,KNN,90.64 ± 0.20,92.96 ± 0.14,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,DICE,78.34 ± 0.79,84.23 ± 1.89,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,RankFeat,79.46 ± 2.52,75.87 ± 5.06,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,ASH,75.27 ± 1.04,78.49 ± 2.58,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,SHE,81.54 ± 0.51,85.32 ± 1.43,95.06 ± 0.30,No,ResNet18,100 epochs
CrossEntropy,GEN,88.20 ± 0.30,91.35 ± 0.69,95.06 ± 0.30,No,ResNet18,100 epochs
