Training,Postprocessor,ID_Accuracy,Near-OOD_AUROC,Far-OOD_AUROC,Outlier_Data,Arch,Additional_Description
CrossEntropy,VIM,77.25 ± 0.10,74.14 ± 0.24,79.29 ± 0.49,No,ResNet18,100 epochs; cosine lr
CrossEntropy,KLM,77.25 ± 0.10,76.56 ± 0.25,76.24 ± 0.52,No,ResNet18,100 epochs; cosine lr
CrossEntropy,EBO,77.25 ± 0.10,80.91 ± 0.08,79.77 ± 0.61,No,ResNet18,100 epochs; cosine lr
CrossEntropy,MSP,77.25 ± 0.10,80.27 ± 0.11,77.76 ± 0.44,No,ResNet18,100 epochs; cosine lr
CrossEntropy,OpenMax,77.25 ± 0.10,76.41 ± 0.25,79.48 ± 0.41,No,ResNet18,100 epochs; cosine lr
CrossEntropy,MDS,77.25 ± 0.10,46.31 ± 0.24,66.00 ± 0.69,No,ResNet18,100 epochs; cosine lr
CrossEntropy,KNN,77.25 ± 0.10,80.18 ± 0.15,82.40 ± 0.17,No,ResNet18,100 epochs; cosine lr
CrossEntropy,ASH,77.25 ± 0.10,78.20 ± 0.15,80.58 ± 0.66,No,ResNet18,100 epochs; cosine lr
CrossEntropy,ODIN,77.25 ± 0.10,79.90 ± 0.11,79.28 ± 0.21,No,ResNet18,100 epochs; cosine lr
CrossEntropy,TempScale,77.25 ± 0.10,80.90 ± 0.07,78.74 ± 0.51,No,ResNet18,100 epochs; cosine lr
CrossEntropy,RankFeat,77.25 ± 0.10,61.88 ± 1.28,67.10 ± 1.42,No,ResNet18,100 epochs; cosine lr
CrossEntropy,DICE,77.25 ± 0.10,79.38 ± 0.23,80.01 ± 0.18,No,ResNet18,100 epochs; cosine lr
CrossEntropy,ReAct,77.25 ± 0.10,77.04 ± 0.42,80.58 ± 1.53,No,ResNet18,100 epochs; cosine lr
CrossEntropy,GradNorm,77.25 ± 0.10,70.13 ± 0.47,69.14 ± 1.05,No,ResNet18,100 epochs; cosine lr
CrossEntropy,Gram,77.25 ± 0.10,51.66 ± 0.77,73.36 ± 1.08,No,ResNet18,100 epochs; cosine lr
CrossEntropy,MLS,77.25 ± 0.10,81.05 ± 0.07,79.67 ± 0.57,No,ResNet18,100 epochs; cosine lr
