Training,Postprocessor,Near-OOD_AUROC,Far-OOD_AUROC,ID_Accuracy,Outlier_Data,Arch,Additional_Description
CrossEntropy,OpenMax,50.48 ± 0.30,69.37 ± 0.29,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,MSP,52.35 ± 0.19,66.05 ± 0.33,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,TempScale,51.50 ± 0.22,66.00 ± 0.36,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,ODIN,46.20 ± 0.15,65.25 ± 0.17,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,MDS,55.17 ± 0.87,65.83 ± 0.86,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,MDSEns,35.53 ± 0.16,45.56 ± 0.18,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,RMDS,59.30 ± 0.81,69.07 ± 0.92,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,Gram,57.39 ± 0.71,67.61 ± 0.11,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,EBO,48.78 ± 0.31,64.16 ± 0.55,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,OpenGAN,43.02 ± 5.01,56.05 ± 7.42,43.87 ± 0.11,No,ResNet18,90 epochs
CrossEntropy,GradNorm,51.95 ± 1.01,67.96 ± 1.19,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,ReAct,49.01 ± 0.57,67.82 ± 2.90,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,MLS,49.52 ± 0.25,65.07 ± 0.46,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,KLM,56.67 ± 0.25,69.32 ± 0.34,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,VIM,51.41 ± 0.96,69.87 ± 0.98,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,KNN,50.23 ± 0.69,66.59 ± 0.51,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,DICE,48.69 ± 0.55,65.18 ± 0.72,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,RankFeat,42.28 ± 1.79,30.27 ± 1.97,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,ASH,52.88 ± 0.70,73.63 ± 1.06,43.92 ± 0.12,No,ResNet18,90 epochs
CrossEntropy,SHE,53.01 ± 0.69,67.87 ± 0.93,43.92 ± 0.12,No,ResNet18,90 epochs
