Training,Postprocessor,Near-OOD_AUROC,Far-OOD_AUROC,ID_Accuracy,Outlier_Data,Arch,Additional_Description
CrossEntropy,OpenMax,79.14 ± 0.18,90.85 ± 0.11,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,MSP,81.10 ± 0.09,90.26 ± 0.05,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,TempScale,81.47 ± 0.11,90.99 ± 0.04,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,ODIN,78.35 ± 0.13,91.65 ± 0.07,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,MDS,63.95 ± 0.37,73.04 ± 0.44,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,MDSEns,51.96 ± 0.24,61.78 ± 0.33,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,RMDS,82.17 ± 0.25,89.01 ± 0.28,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,Gram,64.00 ± 0.64,73.72 ± 0.44,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,EBO,80.58 ± 0.21,91.11 ± 0.08,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,OpenGAN,60.82 ± 3.04,70.83 ± 4.59,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,GradNorm,70.11 ± 0.73,83.89 ± 0.49,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,ReAct,80.00 ± 0.56,92.62 ± 0.57,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,MLS,80.95 ± 0.19,91.38 ± 0.08,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,KLM,79.02 ± 0.19,88.61 ± 0.03,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,VIM,78.01 ± 0.17,89.89 ± 0.21,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,KNN,81.30 ± 0.25,91.46 ± 0.13,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,DICE,79.62 ± 0.27,90.61 ± 0.11,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,RankFeat,54.42 ± 2.20,41.23 ± 1.80,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,ASH,80.11 ± 0.10,93.26 ± 0.31,86.37 ± 0.08,No,ResNet18,90 epochs
CrossEntropy,SHE,78.46 ± 0.50,88.87 ± 0.26,86.37 ± 0.08,No,ResNet18,90 epochs
ConfBranch,ConfBranch,77.44 ± 0.27,90.78 ± 0.21,85.92 ± 0.07,No,ResNet18,90 epochs
RotPred,RotPred,80.59 ± 0.21,91.17 ± 0.10,86.37 ± 0.16,No,ResNet18,90 epochs
G-ODIN,G-ODIN,76.27 ± 0.06,91.57 ± 0.18,84.56 ± 0.28,No,ResNet18,90 epochs
ARPL,ARPL,80.07 ± 0.25,89.31 ± 0.04,83.95 ± 0.32,No,ResNet18,90 epochs
MOS,MOS,67.26 ± 0.79,81.46 ± 0.81,85.60 ± 0.20,No,ResNet18,90 epochs
VOS,EBO,80.43 ± 0.16,91.21 ± 0.11,86.23 ± 0.19,No,ResNet18,90 epochs
VOS,MSP,81.08 ± 0.11,90.25 ± 0.10,86.23 ± 0.19,No,ResNet18,90 epochs
VOS,RMDS,82.07 ± 0.20,88.74 ± 0.28,86.23 ± 0.19,No,ResNet18,90 epochs
VOS,ASH,78.88 ± 0.72,93.32 ± 0.09,86.23 ± 0.19,No,ResNet18,90 epochs
LogitNorm,MSP,81.39 ± 0.04,93.87 ± 0.11,86.04 ± 0.15,No,ResNet18,90 epochs
LogitNorm,RMDS,78.01 ± 0.43,79.80 ± 0.62,86.04 ± 0.15,No,ResNet18,90 epochs
LogitNorm,ASH,60.03 ± 0.52,59.83 ± 0.89,86.04 ± 0.15,No,ResNet18,90 epochs
CIDER,KNN,78.82 ± 1.93,90.20 ± 1.46,/,No,ResNet18,90 epochs
NPOS,KNN,78.55 ± 0.30,94.03 ± 0.07,/,No,ResNet18,90 epochs
OE,MSP,83.76 ± 0.14,89.33 ± 0.17,85.82 ± 0.21,No,ResNet18,90 epochs
OE,RMDS,80.53 ± 0.05,86.55 ± 0.15,85.82 ± 0.21,No,ResNet18,90 epochs
OE,ASH,77.17 ± 0.35,82.01 ± 0.41,85.82 ± 0.21,No,ResNet18,90 epochs
MCD,MCD,81.98 ± 0.07,89.30 ± 0.11,86.12 ± 0.17,No,ResNet18,90 epochs
UDG,MSP,72.99 ± 1.54,83.79 ± 2.22,68.11 ± 1.24,No,ResNet18,90 epochs
MixOE,MSP,80.42 ± 0.04,88.68 ± 0.29,85.71 ± 0.07,No,ResNet18,90 epochs
MixOE,RMDS,81.18 ± 0.30,87.88 ± 0.46,85.71 ± 0.07,No,ResNet18,90 epochs
MixOE,ASH,79.05 ± 1.42,92.40 ± 0.25,85.71 ± 0.07,No,ResNet18,90 epochs
RandAugment,MSP,80.96 ± 0.06,90.43 ± 0.12,86.58 ± 0.03,No,ResNet18,90 epochs
RandAugment,RMDS,82.18 ± 0.17,88.76 ± 0.05,86.58 ± 0.03,No,ResNet18,90 epochs
RandAugment,ASH,79.04 ± 0.29,94.05 ± 0.28,86.58 ± 0.03,No,ResNet18,90 epochs
StyleAug,MSP,79.22 ± 0.09,89.10 ± 0.16,83.41 ± 0.21,No,ResNet18,90 epochs
StyleAug,RMDS,79.30 ± 0.31,84.48 ± 0.62,83.41 ± 0.21,No,ResNet18,90 epochs
StyleAug,ASH,79.37 ± 0.57,93.75 ± 0.07,83.41 ± 0.21,No,ResNet18,90 epochs
AugMix,MSP,81.25 ± 0.11,90.78 ± 0.13,87.01 ± 0.04,No,ResNet18,90 epochs
AugMix,RMDS,82.40 ± 0.17,88.72 ± 0.21,87.01 ± 0.04,No,ResNet18,90 epochs
AugMix,ASH,80.15 ± 0.20,94.29 ± 0.07,87.01 ± 0.04,No,ResNet18,90 epochs
DeepAugment,MSP,79.70 ± 0.23,89.12 ± 0.14,85.00 ± 0.16,No,ResNet18,90 epochs
DeepAugment,RMDS,80.43 ± 0.09,86.50 ± 0.26,85.00 ± 0.16,No,ResNet18,90 epochs
DeepAugment,ASH,79.09 ± 0.48,93.45 ± 0.13,85.00 ± 0.16,No,ResNet18,90 epochs
PixMix,MSP,80.09 ± 0.17,90.35 ± 0.13,85.79 ± 0.11,No,ResNet18,90 epochs
PixMix,RMDS,80.97 ± 0.23,86.29 ± 0.29,85.79 ± 0.11,No,ResNet18,90 epochs
PixMix,ASH,79.66 ± 0.37,94.44 ± 0.13,85.79 ± 0.11,No,ResNet18,90 epochs
RegMixup,MSP,81.88 ± 0.21,91.02 ± 0.30,87.25 ± 0.57,No,ResNet18,90 epochs
RegMixup,RMDS,83.10 ± 0.41,88.11 ± 0.70,87.25 ± 0.57,No,ResNet18,90 epochs
RegMixup,ASH,77.80 ± 0.63,91.30 ± 0.18,87.25 ± 0.57,No,ResNet18,90 epochs
